title	year	value	canton	file_year
Small right-wing parties	2011	1.6	Aargau	2012
Other parties	2011	1.3	Aargau	2012
Debt of the cantons in francs per inhabitant	2009	4,116	Aargau	2012
Residents	2010	53,017	Appenzell	2012
Population density per km2	2010	218	Appenzell	2012
Change in the last 10 years in %	2000-2010	-0.1	Appenzell	2012
Through migration	2000-2010	-0.1	Appenzell	2012
Through natural increase	2000-2010	-0.4	Appenzell	2012
Foreign nationals in %	2010	14.2	Appenzell	2012
0-19 years	2010	21.7	Appenzell	2012
20-64 years	2010	60.7	Appenzell	2012
>64 years	2010	17.6	Appenzell	2012
Urban population in %	2010	52.9	Appenzell	2012
Private households	2010	22,613	Appenzell	2012
Persons per household	2010	2.3	Appenzell	2012
German	2000	91.2	Appenzell	2012
French	2000	0.3	Appenzell	2012
Italian	2000	1.7	Appenzell	2012
Romansh	2000	0.1	Appenzell	2012
Protestants	2000	51.4	Appenzell	2012
Roman Catholics	2000	30.5	Appenzell	2012
No religious affiliation	2000	8.4	Appenzell	2012
Area in km²	1992/97	242.9	Appenzell	2012
Settlement area in %	1992/97	8.4	Appenzell	2012
Agricultural area in %	1992/97	56.1	Appenzell	2012
Forests and copses in %	1992/97	34.1	Appenzell	2012
Non-productive areas in %	1992/97	1.4	Appenzell	2012
Rate of employment (15-64 years) in %	2000	80.3	Appenzell	2012
Unemployment rate in % (annual average)	2011	1.46	Appenzell	2012
Employed	2008	22,949	Appenzell	2012
Primary sector	2008	1,852	Appenzell	2012
Secondary sector	2008	7,678	Appenzell	2012
Tertiary sector	2008	13,419	Appenzell	2012
Business establishments	2008	3,678	Appenzell	2012
Primary sector	2008	824	Appenzell	2012
Secondary sector	2008	679	Appenzell	2012
Tertiary sector	2008	2,175	Appenzell	2012
Residents per room	2000	0.52	Appenzell	2012
Ratio of owner-occupied housing	2000	45.1	Appenzell	2012
New housing units per 1000 residents	2010	2.3	Appenzell	2012
Rate of vacant housing units	2011	1.99	Appenzell	2012
Passenger cars per 1000 inhabitants	2010	524.3	Appenzell	2012
Public transportation	2000	16.1	Appenzell	2012
Private car	2000	48.7	Appenzell	2012
Physicians in private practice per 100 000 people	2010	160	Appenzell	2012
Hospital beds per 1000 people	2009	10.6	Appenzell	2012
Hospitalisation rate per 1000 people	2009	133.4	Appenzell	2012
Without post-mandatory education	2000	24.2	Appenzell	2012
Upper secondary schools	2000	51.5	Appenzell	2012
Higher Education	2000	18.9	Appenzell	2012
FDP	2011	51.5	Appenzell	2012
CVP	2011	10.6	Appenzell	2012
SP	2011	–	Appenzell	2012
SVP	2011	30.5	Appenzell	2012
BDP	2011	–	Appenzell	2012
EVP/CSP	2011	–	Appenzell	2012
GLP	2011	–	Appenzell	2012
PDA/Sol.	2011	–	Appenzell	2012
GPS	2011	6.4	Appenzell	2012
Small right-wing parties	2011	–	Appenzell	2012
Other parties	2011	1.0	Appenzell	2012
Debt of the cantons in francs per inhabitant	2009	1,966	Appenzell	2012
Residents	2010	15,688	Appenzell	2012
Population density per km2	2010	91	Appenzell	2012
Change in the last 10 years in %	2000-2010	0.4	Appenzell	2012
Through migration	2000-2010	5.1	Appenzell	2012
Through natural increase	2000-2010	2.2	Appenzell	2012
Foreign nationals in %	2010	10.0	Appenzell	2012
0-19 years	2010	24.1	Appenzell	2012
20-64 years	2010	59.0	Appenzell	2012
>64 years	2010	16.9	Appenzell	2012
Urban population in %	2010	0.0	Appenzell	2012
Private households	2010	6,207	Appenzell	2012
Persons per household	2010	2.6	Appenzell	2012
German	2000	92.9	Appenzell	2012
French	2000	0.2	Appenzell	2012
Italian	2000	0.9	Appenzell	2012
Romansh	2000	0.1	Appenzell	2012
Protestants	2000	9.9	Appenzell	2012
Roman Catholics	2000	81.3	Appenzell	2012
No religious affiliation	2000	2.7	Appenzell	2012
Area in km²	1992/97	172.5	Appenzell	2012
Settlement area in %	1992/97	4.2	Appenzell	2012
Agricultural area in %	1992/97	55.7	Appenzell	2012
Forests and copses in %	1992/97	31.8	Appenzell	2012
Non-productive areas in %	1992/97	8.4	Appenzell	2012
Rate of employment (15-64 years) in %	2000	81.0	Appenzell	2012
Unemployment rate in % (annual average)	2011	0.96	Appenzell	2012
Employed	2008	7,275	Appenzell	2012
Primary sector	2008	1,169	Appenzell	2012
Secondary sector	2008	2,218	Appenzell	2012
Tertiary sector	2008	3,888	Appenzell	2012
Business establishments	2008	1,424	Appenzell	2012
Primary sector	2008	553	Appenzell	2012
Secondary sector	2008	238	Appenzell	2012
Tertiary sector	2008	633	Appenzell	2012
Residents per room	2000	0.59	Appenzell	2012
Ratio of owner-occupied housing	2000	57.6	Appenzell	2012
New housing units per 1000 residents	2010	3.0	Appenzell	2012
Rate of vacant housing units	2011	0.72	Appenzell	2012
Passenger cars per 1000 inhabitants	2010	524.0	Appenzell	2012
Public transportation	2000	6.8	Appenzell	2012
Private car	2000	48.6	Appenzell	2012
Physicians in private practice per 100 000 people	2010	102	Appenzell	2012
Hospital beds per 1000 people	2009	2.9	Appenzell	2012
Hospitalisation rate per 1000 people	2009	133.4	Appenzell	2012
Without post-mandatory education	2000	32.7	Appenzell	2012
Upper secondary schools	2000	51.0	Appenzell	2012
Higher Education	2000	14.7	Appenzell	2012
FDP	2011	–	Appenzell	2012
CVP	2011	76.1	Appenzell	2012
SP	2011	20.3	Appenzell	2012
SVP	2011	–	Appenzell	2012
BDP	2011	–	Appenzell	2012
EVP/CSP	2011	–	Appenzell	2012
GLP	2011	–	Appenzell	2012
PDA/Sol.	2011	–	Appenzell	2012
GPS	2011	–	Appenzell	2012
Small right-wing parties	2011	–	Appenzell	2012
Other parties	2011	3.6	Appenzell	2012
Debt of the cantons in francs per inhabitant	2009	1,761	Appenzell	2012
Residents	2010	274,404	Basel-Landschaft	2012
Population density per km2	2010	530	Basel-Landschaft	2012
Change in the last 10 years in %	2000-2010	0.5	Basel-Landschaft	2012
Through migration	2000-2010	4.6	Basel-Landschaft	2012
Through natural increase	2000-2010	0.9	Basel-Landschaft	2012
Foreign nationals in %	2010	19.3	Basel-Landschaft	2012
0-19 years	2010	19.8	Basel-Landschaft	2012
20-64 years	2010	60.7	Basel-Landschaft	2012
>64 years	2010	19.5	Basel-Landschaft	2012
Urban population in %	2010	91.8	Basel-Landschaft	2012
Private households	2010	122,071	Basel-Landschaft	2012
Persons per household	2010	2.2	Basel-Landschaft	2012
German	2000	87.2	Basel-Landschaft	2012
French	2000	1.5	Basel-Landschaft	2012
Italian	2000	3.5	Basel-Landschaft	2012
Romansh	2000	0.1	Basel-Landschaft	2012
Protestants	2000	42.8	Basel-Landschaft	2012
Roman Catholics	2000	32.0	Basel-Landschaft	2012
No religious affiliation	2000	14.7	Basel-Landschaft	2012
Area in km²	1992/97	517.5	Basel-Landschaft	2012
Settlement area in %	1992/97	16.3	Basel-Landschaft	2012
Agricultural area in %	1992/97	41.3	Basel-Landschaft	2012
Forests and copses in %	1992/97	41.8	Basel-Landschaft	2012
Non-productive areas in %	1992/97	0.6	Basel-Landschaft	2012
Rate of employment (15-64 years) in %	2000	77.7	Basel-Landschaft	2012
Unemployment rate in % (annual average)	2011	2.89	Basel-Landschaft	2012
Employed	2008	127,883	Basel-Landschaft	2012
Primary sector	2008	3,464	Basel-Landschaft	2012
Secondary sector	2008	39,872	Basel-Landschaft	2012
Tertiary sector	2008	84,547	Basel-Landschaft	2012
Business establishments	2008	12,945	Basel-Landschaft	2012
Primary sector	2008	1,058	Basel-Landschaft	2012
Secondary sector	2008	2,540	Basel-Landschaft	2012
Tertiary sector	2008	9,347	Basel-Landschaft	2012
Residents per room	2000	0.56	Basel-Landschaft	2012
Ratio of owner-occupied housing	2000	41.5	Basel-Landschaft	2012
New housing units per 1000 residents	2010	4.6	Basel-Landschaft	2012
Rate of vacant housing units	2011	0.44	Basel-Landschaft	2012
Passenger cars per 1000 inhabitants	2010	507.1	Basel-Landschaft	2012
Public transportation	2000	32.3	Basel-Landschaft	2012
Private car	2000	44.0	Basel-Landschaft	2012
Physicians in private practice per 100 000 people	2010	218	Basel-Landschaft	2012
Hospital beds per 1000 people	2009	5.0	Basel-Landschaft	2012
Hospitalisation rate per 1000 people	2009	146.8	Basel-Landschaft	2012
Without post-mandatory education	2000	20.1	Basel-Landschaft	2012
Upper secondary schools	2000	53.2	Basel-Landschaft	2012
Higher Education	2000	22.0	Basel-Landschaft	2012
FDP	2011	11.5	Basel-Landschaft	2012
CVP	2011	8.2	Basel-Landschaft	2012
SP	2011	24.4	Basel-Landschaft	2012
SVP	2011	26.9	Basel-Landschaft	2012
BDP	2011	6.4	Basel-Landschaft	2012
EVP/CSP	2011	3.3	Basel-Landschaft	2012
GLP	2011	5.0	Basel-Landschaft	2012
PDA/Sol.	2011	–	Basel-Landschaft	2012
GPS	2011	13.6	Basel-Landschaft	2012
Small right-wing parties	2011	0.7	Basel-Landschaft	2012
Other parties	2011	–	Basel-Landschaft	2012
Debt of the cantons in francs per inhabitant	2009	7,502	Basel-Landschaft	2012
Residents	2010	184,950	Basel-Stadt	2012
Population density per km2	2010	4,999	Basel-Stadt	2012
Change in the last 10 years in %	2000-2010	0.1	Basel-Stadt	2012
Through migration	2000-2010	4.6	Basel-Stadt	2012
Through natural increase	2000-2010	-3.0	Basel-Stadt	2012
Foreign nationals in %	2010	32.5	Basel-Stadt	2012
0-19 years	2010	16.6	Basel-Stadt	2012
20-64 years	2010	62.6	Basel-Stadt	2012
>64 years	2010	20.8	Basel-Stadt	2012
Urban population in %	2010	100.0	Basel-Stadt	2012
Private households	2010	95,523	Basel-Stadt	2012
Persons per household	2010	1.8	Basel-Stadt	2012
German	2000	79.3	Basel-Stadt	2012
French	2000	2.5	Basel-Stadt	2012
Italian	2000	5.0	Basel-Stadt	2012
Romansh	2000	0.1	Basel-Stadt	2012
Protestants	2000	27.2	Basel-Stadt	2012
Roman Catholics	2000	24.9	Basel-Stadt	2012
No religious affiliation	2000	31.0	Basel-Stadt	2012
Area in km²	1992/97	37.1	Basel-Stadt	2012
Settlement area in %	1992/97	70.7	Basel-Stadt	2012
Agricultural area in %	1992/97	12.1	Basel-Stadt	2012
Forests and copses in %	1992/97	12.8	Basel-Stadt	2012
Non-productive areas in %	1992/97	4.4	Basel-Stadt	2012
Rate of employment (15-64 years) in %	2000	76.8	Basel-Stadt	2012
Unemployment rate in % (annual average)	2011	3.51	Basel-Stadt	2012
Employed	2008	159,215	Basel-Stadt	2012
Primary sector	2008	70	Basel-Stadt	2012
Secondary sector	2008	35,207	Basel-Stadt	2012
Tertiary sector	2008	123,938	Basel-Stadt	2012
Business establishments	2008	10,736	Basel-Stadt	2012
Primary sector	2008	22	Basel-Stadt	2012
Secondary sector	2008	1,269	Basel-Stadt	2012
Tertiary sector	2008	9,445	Basel-Stadt	2012
Residents per room	2000	0.58	Basel-Stadt	2012
Ratio of owner-occupied housing	2000	12.6	Basel-Stadt	2012
New housing units per 1000 residents	2010	2.0	Basel-Stadt	2012
Rate of vacant housing units	2011	0.48	Basel-Stadt	2012
Passenger cars per 1000 inhabitants	2010	341.2	Basel-Stadt	2012
Public transportation	2000	48.4	Basel-Stadt	2012
Private car	2000	20.1	Basel-Stadt	2012
Physicians in private practice per 100 000 people	2010	409	Basel-Stadt	2012
Hospital beds per 1000 people	2009	11.4	Basel-Stadt	2012
Hospitalisation rate per 1000 people	2009	165.0	Basel-Stadt	2012
Without post-mandatory education	2000	23.8	Basel-Stadt	2012
Upper secondary schools	2000	42.1	Basel-Stadt	2012
Higher Education	2000	25.6	Basel-Stadt	2012
FDP	2011	12.3	Basel-Stadt	2012
CVP	2011	6.5	Basel-Stadt	2012
SP	2011	29.1	Basel-Stadt	2012
SVP	2011	16.5	Basel-Stadt	2012
BDP	2011	2.2	Basel-Stadt	2012
EVP/CSP	2011	2.5	Basel-Stadt	2012
GLP	2011	5.8	Basel-Stadt	2012
PDA/Sol.	2011	–	Basel-Stadt	2012
GPS	2011	13.4	Basel-Stadt	2012
Small right-wing parties	2011	0.5	Basel-Stadt	2012
Other parties	2011	11.0	Basel-Stadt	2012
Debt of the cantons in francs per inhabitant	2009	21,566	Basel-Stadt	2012
Residents	2010	979,802	Bern	2012
Population density per km2	2010	168	Bern	2012
Change in the last 10 years in %	2000-2010	0.4	Bern	2012
Through migration	2000-2010	4.2	Bern	2012
Through natural increase	2000-2010	-0.2	Bern	2012
Foreign nationals in %	2010	13.4	Bern	2012
0-19 years	2010	19.8	Bern	2012
20-64 years	2010	61.4	Bern	2012
>64 years	2010	18.8	Bern	2012
Urban population in %	2010	62.6	Bern	2012
Private households	2010	445,803	Bern	2012
Persons per household	2010	2.1	Bern	2012
German	2000	84.0	Bern	2012
French	2000	7.6	Bern	2012
Italian	2000	2.0	Bern	2012
Romansh	2000	0.1	Bern	2012
Protestants	2000	67.1	Bern	2012
Roman Catholics	2000	16.0	Bern	2012
No religious affiliation	2000	7.7	Bern	2012
Area in km²	1992/97	5,959.1	Bern	2012
Settlement area in %	1992/97	6.4	Bern	2012
Agricultural area in %	1992/97	43.3	Bern	2012
Forests and copses in %	1992/97	31.0	Bern	2012
Non-productive areas in %	1992/97	19.3	Bern	2012
Rate of employment (15-64 years) in %	2000	80.8	Bern	2012
Unemployment rate in % (annual average)	2011	2.13	Bern	2012
Employed	2008	542,938	Bern	2012
Primary sector	2008	37,394	Bern	2012
Secondary sector	2008	133,285	Bern	2012
Tertiary sector	2008	372,259	Bern	2012
Business establishments	2008	57,597	Bern	2012
Primary sector	2008	12,638	Bern	2012
Secondary sector	2008	10,141	Bern	2012
Tertiary sector	2008	34,818	Bern	2012
Residents per room	2000	0.58	Bern	2012
Ratio of owner-occupied housing	2000	36.3	Bern	2012
New housing units per 1000 residents	2010	4.1	Bern	2012
Rate of vacant housing units	2011	1.26	Bern	2012
Passenger cars per 1000 inhabitants	2010	489.0	Bern	2012
Public transportation	2000	25.6	Bern	2012
Private car	2000	43.4	Bern	2012
Physicians in private practice per 100 000 people	2010	209	Bern	2012
Hospital beds per 1000 people	2009	5.3	Bern	2012
Hospitalisation rate per 1000 people	2009	138.7	Bern	2012
Without post-mandatory education	2000	20.3	Bern	2012
Upper secondary schools	2000	54.0	Bern	2012
Higher Education	2000	19.9	Bern	2012
FDP	2011	8.7	Bern	2012
CVP	2011	2.1	Bern	2012
SP	2011	19.3	Bern	2012
SVP	2011	29.0	Bern	2012
BDP	2011	14.9	Bern	2012
EVP/CSP	2011	4.2	Bern	2012
GLP	2011	5.3	Bern	2012
PDA/Sol.	2011	0.3	Bern	2012
GPS	2011	9.4	Bern	2012
Small right-wing parties	2011	3.7	Bern	2012
Other parties	2011	3.2	Bern	2012
Debt of the cantons in francs per inhabitant	2009	5,740	Bern	2012
Residents	2010	278,493	Fribourg	2012
Population density per km2	2010	175	Fribourg	2012
Change in the last 10 years in %	2000-2010	1.8	Fribourg	2012
Through migration	2000-2010	13.8	Fribourg	2012
Through natural increase	2000-2010	4.1	Fribourg	2012
Foreign nationals in %	2010	18.3	Fribourg	2012
0-19 years	2010	24.0	Fribourg	2012
20-64 years	2010	62.0	Fribourg	2012
>64 years	2010	14.0	Fribourg	2012
Urban population in %	2010	55.8	Fribourg	2012
Private households	2010	112,017	Fribourg	2012
Persons per household	2010	2.4	Fribourg	2012
German	2000	29.2	Fribourg	2012
French	2000	63.2	Fribourg	2012
Italian	2000	1.3	Fribourg	2012
Romansh	2000	0.1	Fribourg	2012
Protestants	2000	15.2	Fribourg	2012
Roman Catholics	2000	70.4	Fribourg	2012
No religious affiliation	2000	6.0	Fribourg	2012
Area in km²	1992/97	1,670.8	Fribourg	2012
Settlement area in %	1992/97	7.3	Fribourg	2012
Agricultural area in %	1992/97	57.3	Fribourg	2012
Forests and copses in %	1992/97	26.6	Fribourg	2012
Non-productive areas in %	1992/97	8.8	Fribourg	2012
Rate of employment (15-64 years) in %	2000	76.8	Fribourg	2012
Unemployment rate in % (annual average)	2011	2.58	Fribourg	2012
Employed	2008	117,430	Fribourg	2012
Primary sector	2008	9,596	Fribourg	2012
Secondary sector	2008	33,514	Fribourg	2012
Tertiary sector	2008	74,320	Fribourg	2012
Business establishments	2008	14,778	Fribourg	2012
Primary sector	2008	3,381	Fribourg	2012
Secondary sector	2008	2,592	Fribourg	2012
Tertiary sector	2008	8,805	Fribourg	2012
Residents per room	2000	0.62	Fribourg	2012
Ratio of owner-occupied housing	2000	41.8	Fribourg	2012
New housing units per 1000 residents	2010	8.2	Fribourg	2012
Rate of vacant housing units	2011	0.77	Fribourg	2012
Passenger cars per 1000 inhabitants	2010	553.4	Fribourg	2012
Public transportation	2000	14.7	Fribourg	2012
Private car	2000	61.3	Fribourg	2012
Physicians in private practice per 100 000 people	2010	138	Fribourg	2012
Hospital beds per 1000 people	2009	3.6	Fribourg	2012
Hospitalisation rate per 1000 people	2009	126.4	Fribourg	2012
Without post-mandatory education	2000	27.7	Fribourg	2012
Upper secondary schools	2000	45.9	Fribourg	2012
Higher Education	2000	19.7	Fribourg	2012
FDP	2011	12.8	Fribourg	2012
CVP	2011	20.3	Fribourg	2012
SP	2011	26.7	Fribourg	2012
SVP	2011	21.5	Fribourg	2012
BDP	2011	1.9	Fribourg	2012
EVP/CSP	2011	6.2	Fribourg	2012
GLP	2011	3.5	Fribourg	2012
PDA/Sol.	2011	–	Fribourg	2012
GPS	2011	5.0	Fribourg	2012
Small right-wing parties	2011	0.7	Fribourg	2012
Other parties	2011	1.5	Fribourg	2012
Debt of the cantons in francs per inhabitant	2009	3,451	Fribourg	2012
Residents	2010	457,715	Geneva	2012
Population density per km2	2010	1,862	Geneva	2012
Change in the last 10 years in %	2000-2010	1.2	Geneva	2012
Through migration	2000-2010	8.3	Geneva	2012
Through natural increase	2000-2010	4.0	Geneva	2012
Foreign nationals in %	2010	39.1	Geneva	2012
0-19 years	2010	21.8	Geneva	2012
20-64 years	2010	62.4	Geneva	2012
>64 years	2010	15.8	Geneva	2012
Urban population in %	2010	99.2	Geneva	2012
Private households	2010	195,626	Geneva	2012
Persons per household	2010	2.1	Geneva	2012
German	2000	3.9	Geneva	2012
French	2000	75.8	Geneva	2012
Italian	2000	3.7	Geneva	2012
Romansh	2000	0.1	Geneva	2012
Protestants	2000	17.4	Geneva	2012
Roman Catholics	2000	39.5	Geneva	2012
No religious affiliation	2000	22.6	Geneva	2012
Area in km²	1992/97	282.4	Geneva	2012
Settlement area in %	1992/97	30.2	Geneva	2012
Agricultural area in %	1992/97	41.5	Geneva	2012
Forests and copses in %	1992/97	13.8	Geneva	2012
Non-productive areas in %	1992/97	14.5	Geneva	2012
Rate of employment (15-64 years) in %	2000	76.0	Geneva	2012
Unemployment rate in % (annual average)	2011	5.97	Geneva	2012
Employed	2008	277,098	Geneva	2012
Primary sector	2008	1,813	Geneva	2012
Secondary sector	2008	43,956	Geneva	2012
Tertiary sector	2008	231,329	Geneva	2012
Business establishments	2008	24,770	Geneva	2012
Primary sector	2008	457	Geneva	2012
Secondary sector	2008	3,436	Geneva	2012
Tertiary sector	2008	20,877	Geneva	2012
Residents per room	2000	0.64	Geneva	2012
Ratio of owner-occupied housing	2000	15.8	Geneva	2012
New housing units per 1000 residents	2010	3.4	Geneva	2012
Rate of vacant housing units	2011	0.25	Geneva	2012
Passenger cars per 1000 inhabitants	2010	471.5	Geneva	2012
Public transportation	2000	31.4	Geneva	2012
Private car	2000	43.8	Geneva	2012
Physicians in private practice per 100 000 people	2010	338	Geneva	2012
Hospital beds per 1000 people	2009	6.0	Geneva	2012
Hospitalisation rate per 1000 people	2009	131.8	Geneva	2012
Without post-mandatory education	2000	21.4	Geneva	2012
Upper secondary schools	2000	34.5	Geneva	2012
Higher Education	2000	30.6	Geneva	2012
FDP	2011	18.7	Geneva	2012
CVP	2011	9.8	Geneva	2012
SP	2011	19.1	Geneva	2012
SVP	2011	16.0	Geneva	2012
BDP	2011	–	Geneva	2012
EVP/CSP	2011	1.0	Geneva	2012
GLP	2011	3.2	Geneva	2012
PDA/Sol.	2011	6.5	Geneva	2012
GPS	2011	14.0	Geneva	2012
Small right-wing parties	2011	9.8	Geneva	2012
Other parties	2011	1.9	Geneva	2012
Debt of the cantons in francs per inhabitant	2009	30,339	Geneva	2012
Residents	2010	38,608	Glarus	2012
Population density per km2	2010	57	Glarus	2012
Change in the last 10 years in %	2000-2010	0.0	Glarus	2012
Through migration	2000-2010	2.2	Glarus	2012
Through natural increase	2000-2010	-1.3	Glarus	2012
Foreign nationals in %	2010	20.4	Glarus	2012
0-19 years	2010	20.7	Glarus	2012
20-64 years	2010	61.6	Glarus	2012
>64 years	2010	17.8	Glarus	2012
Urban population in %	2010	0.0	Glarus	2012
Private households	2010	15,762	Glarus	2012
Persons per household	2010	2.3	Glarus	2012
German	2000	85.8	Glarus	2012
French	2000	0.3	Glarus	2012
Italian	2000	4.4	Glarus	2012
Romansh	2000	0.1	Glarus	2012
Protestants	2000	44.0	Glarus	2012
Roman Catholics	2000	37.3	Glarus	2012
No religious affiliation	2000	6.5	Glarus	2012
Area in km²	1992/97	685.4	Glarus	2012
Settlement area in %	1992/97	2.6	Glarus	2012
Agricultural area in %	1992/97	30.5	Glarus	2012
Forests and copses in %	1992/97	30.2	Glarus	2012
Non-productive areas in %	1992/97	36.7	Glarus	2012
Rate of employment (15-64 years) in %	2000	82.1	Glarus	2012
Unemployment rate in % (annual average)	2011	2.10	Glarus	2012
Employed	2008	19,104	Glarus	2012
Primary sector	2008	1,183	Glarus	2012
Secondary sector	2008	8,104	Glarus	2012
Tertiary sector	2008	9,817	Glarus	2012
Business establishments	2008	2,458	Glarus	2012
Primary sector	2008	459	Glarus	2012
Secondary sector	2008	515	Glarus	2012
Tertiary sector	2008	1,484	Glarus	2012
Residents per room	2000	0.55	Glarus	2012
Ratio of owner-occupied housing	2000	49.7	Glarus	2012
New housing units per 1000 residents	2010	4.0	Glarus	2012
Rate of vacant housing units	2011	1.27	Glarus	2012
Passenger cars per 1000 inhabitants	2010	537.0	Glarus	2012
Public transportation	2000	15.7	Glarus	2012
Private car	2000	46.7	Glarus	2012
Physicians in private practice per 100 000 people	2010	142	Glarus	2012
Hospital beds per 1000 people	2009	3.1	Glarus	2012
Hospitalisation rate per 1000 people	2009	138.0	Glarus	2012
Without post-mandatory education	2000	31.1	Glarus	2012
Upper secondary schools	2000	50.5	Glarus	2012
Higher Education	2000	13.9	Glarus	2012
FDP	2011	–	Glarus	2012
CVP	2011	–	Glarus	2012
SP	2011	24.6	Glarus	2012
SVP	2011	–	Glarus	2012
BDP	2011	61.7	Glarus	2012
EVP/CSP	2011	–	Glarus	2012
GLP	2011	–	Glarus	2012
PDA/Sol.	2011	–	Glarus	2012
GPS	2011	–	Glarus	2012
Small right-wing parties	2011	–	Glarus	2012
Other parties	2011	13.7	Glarus	2012
Debt of the cantons in francs per inhabitant	2009	5,353	Glarus	2012
Residents	2010	192,621	Graubünden	2012
Population density per km2	2010	27	Graubünden	2012
Change in the last 10 years in %	2000-2010	0.3	Graubünden	2012
Through migration	2000-2010	4.1	Graubünden	2012
Through natural increase	2000-2010	-0.1	Graubünden	2012
Foreign nationals in %	2010	16.7	Graubünden	2012
0-19 years	2010	19.5	Graubünden	2012
20-64 years	2010	62.6	Graubünden	2012
>64 years	2010	17.9	Graubünden	2012
Urban population in %	2010	49.8	Graubünden	2012
Private households	2010	83,489	Graubünden	2012
Persons per household	2010	2.2	Graubünden	2012
German	2000	68.3	Graubünden	2012
French	2000	0.5	Graubünden	2012
Italian	2000	10.2	Graubünden	2012
Romansh	2000	14.5	Graubünden	2012
Protestants	2000	40.8	Graubünden	2012
Roman Catholics	2000	46.6	Graubünden	2012
No religious affiliation	2000	5.1	Graubünden	2012
Area in km²	1992/97	7,105.2	Graubünden	2012
Settlement area in %	1992/97	1.8	Graubünden	2012
Agricultural area in %	1992/97	29.8	Graubünden	2012
Forests and copses in %	1992/97	26.7	Graubünden	2012
Non-productive areas in %	1992/97	41.7	Graubünden	2012
Rate of employment (15-64 years) in %	2000	79.4	Graubünden	2012
Unemployment rate in % (annual average)	2011	1.64	Graubünden	2012
Employed	2008	103,007	Graubünden	2012
Primary sector	2008	7,843	Graubünden	2012
Secondary sector	2008	24,887	Graubünden	2012
Tertiary sector	2008	70,277	Graubünden	2012
Business establishments	2008	14,593	Graubünden	2012
Primary sector	2008	2,916	Graubünden	2012
Secondary sector	2008	2,402	Graubünden	2012
Tertiary sector	2008	9,275	Graubünden	2012
Residents per room	2000	0.57	Graubünden	2012
Ratio of owner-occupied housing	2000	46.7	Graubünden	2012
New housing units per 1000 residents	2010	7.8	Graubünden	2012
Rate of vacant housing units	2011	0.91	Graubünden	2012
Passenger cars per 1000 inhabitants	2010	512.3	Graubünden	2012
Public transportation	2000	15.6	Graubünden	2012
Private car	2000	41.0	Graubünden	2012
Physicians in private practice per 100 000 people	2010	170	Graubünden	2012
Hospital beds per 1000 people	2009	5.9	Graubünden	2012
Hospitalisation rate per 1000 people	2009	142.2	Graubünden	2012
Without post-mandatory education	2000	24.6	Graubünden	2012
Upper secondary schools	2000	54.2	Graubünden	2012
Higher Education	2000	16.0	Graubünden	2012
FDP	2011	11.9	Graubünden	2012
CVP	2011	16.7	Graubünden	2012
